congressmember_id,person_id,party,chamber,constituency_id
1,1,D,H,253
2,2,D,H,85
3,3,R,H,313
4,4,D,H,366
5,5,R,H,276
6,6,R,H,425
7,7,R,H,473
8,8,D,H,173
9,9,R,H,442
10,10,D,H,496
11,11,D,H,64
12,12,D,H,75
13,13,R,H,18
14,14,R,H,40
15,15,R,H,199
16,16,R,H,392
17,17,R,H,103
18,18,D,H,478
19,19,D,H,398
20,20,R,H,489
21,21,D,H,503
22,22,R,H,160
23,23,R,H,359
24,24,R,H,194
25,25,D,H,367
26,26,R,H,NA
27,27,R,H,18
28,28,R,H,40
29,29,R,H,199
30,30,R,H,269
31,30,R,H,18
32,31,R,H,392
33,32,D,H,93
34,32,R,H,40
35,33,R,H,12
36,33,R,H,199
37,34,D,H,503
38,35,R,H,328
39,35,R,H,392
40,36,R,H,45
41,37,R,H,353
42,37,R,H,103
43,38,D,H,70
44,39,R,H,433
45,39,R,H,373
46,39,D,H,478
47,40,D,H,55
48,40,D,H,367
49,40,D,H,398
50,41,D,H,184
51,41,R,H,NA
52,41,D,H,503
53,42,D,H,503
54,43,D,H,212
55,44,R,H,45
56,45,R,H,268
57,46,D,H,22
58,47,R,H,326
59,47,R,H,232
60,47,D,H,212
61,47,R,H,160
62,48,R,H,5
63,48,R,H,149
64,48,R,H,45
65,48,R,H,359
66,49,D,H,404
67,49,D,H,348
68,49,R,H,268
69,49,R,H,194
70,50,R,H,304
71,50,D,H,116
72,50,D,H,22
73,51,D,H,344
74,51,D,H,225
75,51,D,H,509
76,51,D,H,70
77,52,R,H,189
78,53,D,H,8
79,54,D,H,445
80,55,R,H,192
81,56,D,H,282
82,57,NA,H,NA
83,58,R,H,3
84,59,R,H,500
85,60,I,H,486
86,61,R,H,107
87,62,R,H,314
88,63,R,H,19
89,64,R,H,89
90,65,R,H,180
91,66,D,H,338
92,67,D,H,60
93,68,D,H,511
94,69,D,H,228
95,70,D,H,172
96,71,D,H,166
97,72,D,H,428
98,73,D,H,364
99,74,R,H,303
100,75,R,H,439
101,76,R,H,190
102,77,R,H,296
103,78,D,H,210
104,79,D,H,450
105,80,R,H,176
106,81,D,H,57
107,82,R,H,29
108,83,D,H,224
109,84,R,H,476
110,85,D,H,396
111,86,R,H,322
112,87,R,H,47
113,88,R,H,NA
114,89,D,H,507
115,90,D,H,400
116,91,D,H,74
117,92,R,H,363
118,93,D,H,334
119,94,R,H,327
120,95,R,H,177
121,96,R,H,108
122,97,R,H,218
123,98,D,H,346
124,99,R,H,360
125,100,R,H,106
126,101,D,H,96
127,102,R,H,301
128,103,R,H,492
129,104,R,H,380
130,105,R,H,443
131,106,D,H,249
132,107,R,H,1
133,108,R,H,436
134,109,R,H,468
135,110,D,H,216
136,111,R,H,316
137,112,R,H,273
138,113,D,H,204
139,114,D,H,506
140,115,R,H,390
141,116,R,H,81
142,117,D,H,494
143,118,R,H,42
144,119,R,H,153
145,120,R,H,513
146,121,D,H,384
147,122,D,H,143
148,123,D,H,452
149,124,D,H,53
150,125,R,H,41
151,126,R,H,NA
152,127,R,H,317
153,128,D,H,73
154,129,R,H,34
155,130,R,H,221
156,131,R,H,469
157,132,R,H,83
158,133,D,H,NA
159,134,D,H,409
160,135,D,H,238
161,136,D,H,208
162,137,D,H,59
163,138,D,H,NA
164,139,D,H,NA
165,140,D,H,480
166,141,R,H,44
167,142,R,H,36
168,156,R,H,437
169,157,R,H,233
170,158,D,H,67
171,159,R,H,195
172,160,D,H,168
173,161,R,H,298
174,162,R,H,49
175,163,R,H,411
176,164,R,H,356
177,165,D,H,495
178,166,D,H,144
179,167,R,H,148
180,168,D,H,289
181,169,D,H,66
182,174,D,H,56
183,175,D,H,429
184,176,R,H,27
185,177,D,H,119
186,178,R,H,378
187,179,R,H,159
188,180,R,H,258
189,181,R,H,230
190,182,D,H,223
191,183,R,H,292
192,184,R,H,NA
193,185,D,H,406
194,186,R,H,162
195,187,R,H,431
196,188,R,H,491
197,189,R,H,394
198,190,R,H,321
199,191,D,H,205
200,192,R,H,90
201,193,R,H,441
202,194,D,H,91
203,195,D,H,504
204,196,D,H,245
205,197,D,H,NA
206,198,D,H,77
207,199,D,H,71
208,200,R,H,200
209,201,D,H,347
210,202,D,H,215
211,203,R,H,248
212,204,D,H,336
213,230,D,H,405
214,422,D,H,455
215,548,D,H,94
216,549,R,H,395
217,550,D,H,183
218,551,R,H,157
219,552,R,H,147
220,553,R,H,291
221,929,D,H,345
222,930,R,H,324
223,931,R,H,109
224,932,R,H,31
225,933,D,H,453
226,934,R,H,112
227,935,D,H,371
228,936,R,H,488
229,937,R,H,NA
230,938,R,H,84
231,939,D,H,211
232,940,R,H,279
233,941,R,H,354
234,942,D,H,479
235,943,R,H,256
236,944,D,H,349
237,945,D,H,13
238,946,D,H,115
239,947,R,H,257
240,948,D,H,483
241,949,D,H,457
242,950,D,H,335
243,951,D,H,NA
244,952,R,H,188
245,953,D,H,408
246,954,R,H,362
247,955,R,H,438
248,956,D,H,340
249,957,D,H,227
250,958,D,H,NA
251,959,R,H,220
252,960,R,H,332
253,961,D,H,343
254,962,R,H,300
255,963,R,H,155
256,964,D,H,167
257,973,D,H,337
258,974,D,H,482
259,975,D,H,481
260,976,D,H,69
261,977,D,H,284
262,978,R,H,421
263,979,R,H,NA
264,980,R,H,11
265,981,R,H,424
266,982,R,H,178
267,983,R,H,38
268,984,D,H,309
269,985,D,H,121
270,986,R,H,181
271,987,R,H,101
272,988,R,H,277
273,989,D,H,NA
274,990,D,H,207
275,991,R,H,388
276,992,R,H,475
277,993,R,H,413
278,994,D,H,78
279,995,R,H,99
280,996,D,H,214
281,997,D,H,61
282,998,D,H,342
283,999,D,H,458
284,1798,R,S,514
285,1799,D,S,385
286,1800,D,S,315
287,1801,D,S,15
288,1802,R,S,274
289,1803,R,S,315
290,1804,D,S,198
291,1805,R,S,498
292,1806,D,S,126
293,1807,R,S,2
294,1808,R,S,379
295,1809,D,S,206
296,1810,R,S,385
297,1811,R,S,88
298,1812,D,S,290
299,1813,R,S,255
300,1814,D,S,420
301,1815,R,S,26
302,1816,D,S,145
303,1817,D,S,311
304,1818,D,S,372
305,1819,R,S,191
306,1820,R,S,98
307,1821,R,S,407
308,1822,R,S,430
309,1823,D,S,NA
310,1824,R,S,272
311,1825,D,S,175
312,1835,R,S,10
313,1836,D,S,80
314,1837,R,S,265
315,1838,D,S,512
316,1839,R,S,288
317,1840,D,S,418
318,1841,R,S,467
319,1842,D,S,145
320,1843,D,S,508
321,1844,D,S,311
322,1845,D,S,487
323,1846,R,S,198
324,1847,D,S,498
325,1848,D,S,151
326,1849,D,S,226
327,1850,D,S,352
328,1851,D,S,95
329,1852,R,S,297
330,1853,R,S,NA
331,1854,R,S,410
332,1855,R,S,154
333,1856,R,S,484
334,1857,R,S,10
335,1858,R,S,15
336,1859,D,S,274
337,1877,D,S,226
338,1878,R,S,265
339,1879,D,S,98
340,1880,R,S,NA
341,1881,D,S,508
342,1882,R,S,430
343,1883,R,S,288
344,1884,R,S,186
345,1885,D,S,484
346,1886,D,S,255
347,1887,R,S,294
348,2111,D,S,320
349,2112,R,S,472
350,2113,D,S,175
351,2114,R,S,151
352,2115,R,S,126
353,2269,NA,S,NA
354,2338,R,S,407
355,2339,D,H,237
356,2340,D,H,415
357,2341,R,H,435
358,2342,R,H,110
359,2343,R,H,196
360,2356,R,H,500
361,2357,R,H,292
362,2358,R,H,156
363,2359,R,H,75
364,2360,D,H,173
365,2361,R,H,380
366,2362,R,H,199
367,2363,R,H,152
368,2364,D,H,270
369,2365,D,H,118
370,2366,D,H,381
371,2367,D,H,501
372,2368,R,H,505
373,2369,D,H,195
374,2370,R,H,197
375,2371,D,H,NA
376,2372,R,H,39
377,2373,R,H,401
378,2374,R,H,NA
379,2375,D,H,283
380,2376,D,H,427
381,2377,R,H,247
382,2378,R,H,423
383,2379,R,H,234
384,2380,R,H,295
385,2381,D,H,451
386,2382,D,H,251
387,2383,D,H,244
388,2386,D,H,165
389,2387,D,H,370
390,2388,R,H,102
391,2389,D,H,369
392,2390,R,H,231
393,2391,R,H,193
394,2392,D,H,222
395,2393,D,H,368
396,2394,R,H,259
397,2395,D,H,76
398,2396,D,H,NA
399,2397,R,H,333
400,2398,R,H,161
401,2399,R,H,314
402,2400,R,H,278
403,2401,R,H,377
404,2402,R,H,NA
405,2403,D,H,NA
406,2404,R,H,219
407,2405,D,H,339
408,2406,D,H,NA
409,2407,R,H,146
410,2408,R,H,358
411,2409,D,H,426
412,2410,D,H,448
413,2411,R,H,389
414,2412,D,H,456
415,2413,R,H,434
416,2414,D,H,403
417,2415,R,H,376
418,2416,R,H,330
419,2417,D,H,254
420,2418,R,H,NA
421,2419,R,H,28
422,2420,R,H,357
423,2421,R,H,111
424,2422,R,H,201
425,2423,D,H,72
426,2424,D,H,340
427,2425,D,H,52
428,2426,D,H,391
429,2427,R,H,NA
430,2428,D,H,NA
431,2429,D,H,262
432,2430,D,H,341
433,2431,R,H,275
434,2432,D,H,114
435,2433,D,H,9
436,2434,R,H,329
437,2435,R,H,68
438,2436,D,H,NA
439,2437,D,H,308
440,2438,D,H,305
441,2439,R,H,33
442,2441,R,H,323
443,2442,D,H,312
444,2443,R,H,392
445,2444,R,H,153
446,2445,D,H,NA
447,2446,R,H,286
448,2447,D,H,55
449,2448,D,H,493
450,2455,D,H,92
451,2456,D,H,285
452,2457,R,H,7
453,2458,R,H,113
454,2459,R,H,32
455,2460,R,H,474
456,2472,R,H,331
457,2473,R,H,104
458,2474,D,H,NA
459,2475,D,H,241
460,2476,D,H,185
461,2521,D,H,307
462,2789,R,H,414
463,2827,NA,H,NA
464,2840,D,H,NA
465,3108,R,H,470
466,3109,D,H,240
467,3110,D,H,492
468,3111,D,H,190
469,3112,D,H,213
470,3113,R,H,62
471,3114,D,H,91
472,3115,D,H,337
473,3116,D,H,383
474,3117,D,H,399
475,3118,R,H,374
476,3127,D,H,NA
477,3132,D,H,404
478,3133,R,H,419
479,3134,D,H,449
480,3135,D,H,317
481,3136,D,H,366
482,3137,D,H,167
483,3138,R,H,324
484,3139,R,H,411
485,3316,NA,H,NA
486,3317,D,S,217
487,3318,R,S,418
488,3319,R,H,6
489,4004,D,S,15
490,4005,R,S,175
491,4014,D,S,420
492,4015,R,S,191
493,4071,D,S,NA
494,4088,D,S,288
495,4089,D,S,410
496,4112,R,S,372
497,4113,R,S,410
498,4115,R,S,246
499,4138,R,S,229
500,4448,D,S,512
501,5099,D,H,454
502,5100,D,H,268
503,5101,R,H,240
504,5102,D,H,264
505,5103,R,H,328
506,5104,D,H,330
507,5105,R,H,356
508,5106,R,H,403
509,5107,R,H,477
510,5108,R,H,511
511,5109,D,H,171
512,5110,R,H,202
513,5111,R,H,280
514,5112,D,H,397
515,5113,R,H,361
516,5114,R,H,302
517,5115,D,H,12
518,5121,R,H,101
519,5122,R,H,395
520,5123,R,H,474
521,5124,R,H,480
522,5125,D,H,64
523,5126,D,H,62
524,5127,D,S,255
525,5128,D,H,48
526,5129,R,H,113
527,5130,R,H,160
528,5131,R,H,NA
529,5132,R,H,431
530,5133,D,H,470
531,5134,R,H,21
532,5135,D,H,68
533,5136,D,H,249
534,5137,R,H,273
535,5138,R,H,293
536,5139,D,H,377
537,5145,D,H,209
538,5390,D,H,211
539,5391,D,H,402
540,5392,D,H,271
541,5393,D,H,117
542,5394,D,H,150
543,5395,R,H,187
544,5396,R,H,131
545,5397,R,H,94
546,5398,R,H,164
547,5399,R,H,178
548,5400,D,H,174
549,5401,D,H,252
550,5402,R,H,325
551,5841,R,H,NA
552,5842,R,H,177
553,5843,R,H,256
554,5844,R,H,262
555,5845,D,H,408
556,5846,R,H,386
557,5847,D,H,63
558,5971,R,S,484
559,5972,D,S,498
560,6021,D,H,NA
561,6028,R,H,251
562,6029,D,H,490
563,6030,R,H,11
564,6421,D,S,265
565,6425,D,H,459
566,6426,D,H,NA
567,6603,D,S,126
568,6604,D,S,352
569,6605,D,S,311
570,8347,D,H,60
571,8348,R,H,99
572,8349,R,H,123
573,8350,R,H,149
574,8351,R,H,421
575,8352,R,H,461
576,8353,D,H,33
577,8360,R,H,5
578,8361,D,H,57
579,8362,R,H,130
580,8363,D,H,287
581,8364,D,H,423
582,8365,R,H,432
583,8366,R,H,469
584,8367,R,H,438
585,8373,D,H,9
586,8374,R,H,22
587,8375,R,H,119
588,8376,R,H,122
589,8377,D,H,135
590,8378,D,H,172
591,8379,R,H,232
592,8380,R,H,302
593,8381,R,H,413
594,8382,R,H,439
595,8383,D,H,427
596,8386,D,H,42
597,8387,R,H,21
598,8388,D,H,24
599,8389,R,H,27
600,8390,R,H,313
601,8391,R,H,375
602,8402,D,H,29
603,8403,D,H,116
604,8420,D,H,197
605,8421,D,H,310
606,8443,R,H,239
607,8444,R,H,371
608,8445,R,H,399
609,8446,D,H,451
610,8458,D,H,216
611,8462,R,H,355
612,8463,D,H,79
613,8464,R,H,412
614,8465,D,H,144
615,8466,R,H,81
616,8467,R,H,138
617,8468,R,H,251
618,8469,R,H,318
619,8470,D,H,328
620,8471,D,H,365
621,8512,R,H,87
622,8513,R,H,177
623,8514,D,H,227
624,8515,R,H,405
625,8603,R,S,430
626,8604,R,H,103
627,8605,D,H,139
628,8890,NA,H,NA
629,9382,D,H,NA
630,9383,R,H,296
631,9447,D,H,14
632,9752,R,H,203
633,10118,R,H,107
634,10253,R,S,255
635,10254,D,S,15
636,10266,R,S,288
637,10306,R,S,467
638,10307,R,S,2
639,10863,NA,S,NA
640,11083,NA,S,NA
641,11163,NA,S,NA
642,11399,R,H,131
643,11400,D,H,162
644,11401,R,H,195
645,11402,D,H,NA
646,11403,R,H,275
647,11404,D,H,455
648,11405,D,H,504
649,11406,R,H,NA
650,11417,D,H,53
651,11418,D,H,174
652,11419,R,H,183
653,11420,D,H,203
654,11421,R,H,452
655,11422,R,H,491
656,11423,D,H,71
657,11430,R,H,134
658,11431,R,H,278
659,11432,D,H,323
660,11433,R,H,401
661,11434,R,H,453
662,11435,R,H,NA
