hearing_id,related_item
19196,"_x000D_
_x000D_
United States Senate Bill 525  (114th Congress)_x000D_
_x000D_
S. 525_x000D_
_x000D_
114_x000D_
BODY_x000D_
_x000D_
"
19196,"_x000D_
_x000D_
United States Senate Bill 1252  (114th Congress)_x000D_
_x000D_
S. 1252_x000D_
_x000D_
114_x000D_
BODY_x000D_
_x000D_
"
19196,"_x000D_
_x000D_
United States House Bill 1567  (114th Congress)_x000D_
_x000D_
H.R. 1567_x000D_
_x000D_
114_x000D_
BODY_x000D_
_x000D_
"
19196,"_x000D_
_x000D_
United States Code_x000D_
Title 46 Section 55305(b)_x000D_
_x000D_
46 U.S.C. 55305(b)_x000D_
"
19200,"_x000D_
_x000D_
United States House Bill 500  (114th Congress)_x000D_
_x000D_
H.R. 500_x000D_
_x000D_
114_x000D_
BODY_x000D_
_x000D_
"
19200,"_x000D_
_x000D_
United States Senate Bill 744  (114th Congress)_x000D_
_x000D_
S. 744_x000D_
_x000D_
114_x000D_
BODY_x000D_
_x000D_
"
19200,"_x000D_
_x000D_
United States House Bill 3344  (114th Congress)_x000D_
_x000D_
H.R. 3344_x000D_
_x000D_
114_x000D_
BODY_x000D_
_x000D_
"
19200,"_x000D_
_x000D_
United States Public Law 110-457_x000D_
_x000D_
Public Law 110-457_x000D_
"
19204,"_x000D_
_x000D_
United States Public Law 93-126_x000D_
_x000D_
Public Law 93-126_x000D_
"
19204,"_x000D_
_x000D_
United States Public Law 113-235_x000D_
_x000D_
Public Law 113-235_x000D_
"
19205,"_x000D_
_x000D_
United States Code_x000D_
Title 42 Section 247d-6b(a)_x000D_
_x000D_
42 U.S.C. 247d-6b(a)_x000D_
"
19206,"_x000D_
_x000D_
United States Code_x000D_
Title 29 Section 152(2)_x000D_
Title 29 Section 152(3)_x000D_
Title 29 Section 154(a)_x000D_
_x000D_
29 U.S.C. 152(2)_x000D_
29 U.S.C. 152(3)_x000D_
29 U.S.C. 154(a)_x000D_
"
19206,"_x000D_
_x000D_
United States Statutes at Large_x000D_
Volume 61 Page 137-38_x000D_
_x000D_
61 Stat. 137-38_x000D_
"
19206,"_x000D_
_x000D_
Code of Federal Regulations_x000D_
Title 29 Part 825.106(c)_x000D_
_x000D_
29 CFR Part  825.106(c)_x000D_
"
19207,"_x000D_
_x000D_
United States Senate Bill 30  (114th Congress)_x000D_
_x000D_
S. 30_x000D_
_x000D_
114_x000D_
BODY_x000D_
_x000D_
"
19207,"_x000D_
_x000D_
United States House Bill 30  (114th Congress)_x000D_
_x000D_
H.R. 30_x000D_
_x000D_
114_x000D_
BODY_x000D_
_x000D_
"
19208,"_x000D_
_x000D_
United States Code_x000D_
Title 29 Section 1182(a)_x000D_
_x000D_
29 U.S.C. 1182(a)_x000D_
"
19208,"_x000D_
_x000D_
United States Code_x000D_
Title 42 Section 12101et seq._x000D_
Title 42 Section 12112(a)_x000D_
Title 42 Section 12112(d)_x000D_
Title 42 Section 12112(d)(4)(A)_x000D_
Title 42 Section 12112(d)(4)(B)_x000D_
Title 42 Section 12201(c)(2)_x000D_
Title 42 Section 2000ff-1(b)(2)_x000D_
Title 42 Section 300gg-4(j)(3)(A)_x000D_
_x000D_
42 U.S.C. 12101et seq._x000D_
42 U.S.C. 12112(a)_x000D_
42 U.S.C. 12112(d)_x000D_
42 U.S.C. 12112(d)(4)(A)_x000D_
42 U.S.C. 12112(d)(4)(B)_x000D_
42 U.S.C. 12201(c)(2)_x000D_
42 U.S.C. 2000ff-1(b)(2)_x000D_
42 U.S.C. 300gg-4(j)(3)(A)_x000D_
"
19208,"_x000D_
_x000D_
United States Public Law 104-191_x000D_
_x000D_
Public Law 104-191_x000D_
"
19208,"_x000D_
_x000D_
United States Public Law 110-233_x000D_
_x000D_
Public Law 110-233_x000D_
"
19208,"_x000D_
_x000D_
United States Public Law 111-148_x000D_
_x000D_
Public Law 111-148_x000D_
"
19208,"_x000D_
_x000D_
Code of Federal Regulations_x000D_
Title 29 Part 2590.702(g)_x000D_
_x000D_
29 CFR Part  2590.702(g)_x000D_
"
19209,"_x000D_
_x000D_
United States House Bill 2  (114th Congress)_x000D_
_x000D_
H.R. 2_x000D_
_x000D_
114_x000D_
BODY_x000D_
_x000D_
"
19210,"_x000D_
_x000D_
United States Public Law 112-144_x000D_
_x000D_
Public Law 112-144_x000D_
"
19210,"_x000D_
_x000D_
Code of Federal Regulations_x000D_
Title 21 Part 314.92(a)(l)_x000D_
_x000D_
21 CFR Part  314.92(a)(l)_x000D_
"
19210,"_x000D_
_x000D_
Code of Federal Regulations_x000D_
Title 21 Part 600-680_x000D_
_x000D_
21 CFR Part  600-680_x000D_
"
19210,"_x000D_
_x000D_
Code of Federal Regulations_x000D_
Title 21 Part 210and 211_x000D_
_x000D_
21 CFR Part  210and 211_x000D_
"
19210,"_x000D_
_x000D_
Code of Federal Regulations_x000D_
Title 21 Part 600-680,_x000D_
_x000D_
21 CFR Part  600-680,_x000D_
"
19210,"_x000D_
_x000D_
Code of Federal Regulations_x000D_
Title 21 Part 600-680_x000D_
_x000D_
21 CFR Part  600-680_x000D_
"
19212,"_x000D_
_x000D_
United States Code_x000D_
Title 8 Section 1182(a)(1)_x000D_
_x000D_
8 U.S.C. 1182(a)(1)_x000D_
"
19217,"_x000D_
_x000D_
United States Senate Bill 1099  (114th Congress)_x000D_
_x000D_
S. 1099_x000D_
_x000D_
114_x000D_
BODY_x000D_
_x000D_
"
19217,"_x000D_
_x000D_
United States Senate Bill 1415  (114th Congress)_x000D_
_x000D_
S. 1415_x000D_
_x000D_
114_x000D_
BODY_x000D_
_x000D_
"
19217,"_x000D_
_x000D_
United States Senate Bill 1661  (114th Congress)_x000D_
_x000D_
S. 1661_x000D_
_x000D_
114_x000D_
BODY_x000D_
_x000D_
"
19217,"_x000D_
_x000D_
United States Code_x000D_
Title 42 Section 18031(b)(1)(B)_x000D_
_x000D_
42 U.S.C. 18031(b)(1)(B)_x000D_
"
19220,"_x000D_
_x000D_
United States Public Law 111-5_x000D_
_x000D_
Public Law 111-5_x000D_
"
19221,"_x000D_
_x000D_
United States Senate Bill 185  (114th Congress)_x000D_
_x000D_
S. 185_x000D_
_x000D_
114_x000D_
BODY_x000D_
_x000D_
"
19222,"_x000D_
_x000D_
United States House Bill 550  (114th Congress)_x000D_
_x000D_
H.R. 550_x000D_
_x000D_
114_x000D_
BODY_x000D_
_x000D_
"
19224,"_x000D_
_x000D_
United States Senate Bill 108  (114th Congress)_x000D_
_x000D_
S. 108_x000D_
_x000D_
114_x000D_
BODY_x000D_
_x000D_
"
19224,"_x000D_
_x000D_
United States Senate Bill 2014  (114th Congress)_x000D_
_x000D_
S. 2014_x000D_
_x000D_
114_x000D_
BODY_x000D_
_x000D_
"
19225,"_x000D_
_x000D_
United States Senate Joint Resolution 8  (114th Congress)_x000D_
_x000D_
S.J. Res. 8_x000D_
_x000D_
114_x000D_
BODY_x000D_
_x000D_
"
19225,"_x000D_
_x000D_
Code of Federal Regulations_x000D_
Title 29 Part 101102 and 103_x000D_
_x000D_
29 CFR Part  101102 and 103_x000D_
"
19226,"_x000D_
_x000D_
United States Senate Bill 2002  (114th Congress)_x000D_
_x000D_
S. 2002_x000D_
_x000D_
114_x000D_
BODY_x000D_
_x000D_
"
19227,"_x000D_
_x000D_
Code of Federal Regulations_x000D_
Title 34 Part 600.2_x000D_
_x000D_
34 CFR Part  600.2_x000D_
"
19228,"_x000D_
_x000D_
United States Senate Bill 590  (114th Congress)_x000D_
_x000D_
S. 590_x000D_
_x000D_
114_x000D_
BODY_x000D_
_x000D_
"
19228,"_x000D_
_x000D_
United States Code_x000D_
Title 20 Section 1232g_x000D_
_x000D_
20 U.S.C. 1232g_x000D_
"
19228,"_x000D_
_x000D_
United States Code_x000D_
Title 42 Section 13925(a)(20)_x000D_
Title 42 Section 16921_x000D_
_x000D_
42 U.S.C. 13925(a)(20)_x000D_
42 U.S.C. 16921_x000D_
"
19234,"_x000D_
_x000D_
United States House Bill 6  (114th Congress)_x000D_
_x000D_
H.R. 6_x000D_
_x000D_
114_x000D_
BODY_x000D_
_x000D_
"
19234,"_x000D_
_x000D_
United States Senate Bill 849  (114th Congress)_x000D_
_x000D_
S. 849_x000D_
_x000D_
114_x000D_
BODY_x000D_
_x000D_
"
19235,"_x000D_
_x000D_
United States S. Hrg. 681(114th Congress)_x000D_
_x000D_
_x000D_
S. Hrg. 114-681_x000D_
_x000D_
"
19235,"_x000D_
S. Hrg. 114-681_x000D_
"
19237,"_x000D_
_x000D_
United States Senate Bill 787  (114th Congress)_x000D_
_x000D_
S. 787_x000D_
_x000D_
114_x000D_
BODY_x000D_
_x000D_
"
19240,"_x000D_
_x000D_
United States Senate Bill 614  (114th Congress)_x000D_
_x000D_
S. 614_x000D_
_x000D_
114_x000D_
BODY_x000D_
_x000D_
"
19241,"_x000D_
_x000D_
United States S. Hrg. 516(114th Congress)_x000D_
_x000D_
_x000D_
S. Hrg. 114-516_x000D_
_x000D_
"
19241,"_x000D_
S. Hrg. 114-516_x000D_
"
19242,"_x000D_
_x000D_
United States Senate Bill 1915  (114th Congress)_x000D_
_x000D_
S. 1915_x000D_
_x000D_
114_x000D_
BODY_x000D_
_x000D_
"
